rank;residual_edges;largest_res_eigval;ano_edges;largest_ano_eigval
18;888;22.50183747;347;17.0475848451
19;717;20.6341332532;261;14.8024741854
20;569;18.8890405063;198;13.0702973029
rank;residual_edges;largest_res_eigval;ano_edges;largest_ano_eigval
0;16203;65.2830160245;905;28.8769085797
1;11808;56.5295903562;895;28.7036187022
2;9515;52.8032013568;885;28.5292858061
3;8002;50.1832481763;875;28.3570799749
4;6895;48.0570136234;845;27.8243740735
5;5958;45.6616206551;816;27.3161194575
6;5221;43.3569164198;797;26.9807889187
7;4548;41.2508953309;787;26.8129101236
8;4014;39.512478258;763;26.4408467115
9;3583;38.2065229144;744;26.0863837028
10;3166;36.6917015621;738;25.8970018727
11;2709;34.6924207344;655;24.469790795
12;2427;33.4290750782;645;24.1362865212
13;2157;32.1914373036;597;23.2903341056
14;1956;31.0047670076;570;22.6337110197
15;1718;29.4940515395;559;22.2732279022
16;1525;28.1717265225;526;21.3016468278
17;1319;26.5569039107;484;20.0682002665
18;1070;24.3993942625;356;17.4324236346
19;923;22.9998524338;321;16.6179058728
20;744;20.7200655013;261;14.9296002624
rank;residual_edges;largest_res_eigval;ano_edges;largest_ano_eigval
0;16203;65.2830160245;905;28.8769085797
1;11809;57.2414957768;897;28.765567607
2;9531;53.955958912;887;28.5916018731
3;7937;50.1708027284;877;28.4165807716
4;6724;47.6986347291;858;28.0980443536
5;5812;45.3780665209;799;27.0446592209
6;5162;43.5982053685;780;26.7086977608
7;4594;41.9734882795;751;26.1752573957
8;4060;40.3232692733;751;26.1752573957
9;3581;38.4508598944;742;26.0213774274
10;3026;36.0332644974;703;25.278118575
11;2552;33.6732182687;595;23.2434269376
12;2270;32.3844865658;581;22.8921348061
13;1964;30.6803127235;495;21.1843166353
14;1712;29.1559354924;475;20.7088170687
15;1472;27.6695692568;449;20.1445363587
16;1297;26.1755347425;377;18.4628130763
17;1100;24.6311763372;329;17.1663943212
18;995;23.9642066942;328;17.129691155
19;870;22.8022555837;320;16.9356045273
20;744;21.2352131654;308;16.5607824831
rank;residual_edges;largest_res_eigval;ano_edges;largest_ano_eigval
0;16203;65.2830160245;905;28.8769085797
1;11794;58.3650609177;895;28.7036187022
2;9553;53.7474335556;881;28.4234719592
3;8004;51.1224986763;865;28.1934622249
4;6913;48.5926763709;856;28.0482423151
5;5987;46.0126196863;832;27.698555496
6;5235;43.8525156538;821;27.5082594853
7;4634;42.0632433963;815;27.4311268966
8;4060;40.1682994698;803;27.0745294637
9;3569;38.4482915818;781;26.7693062616
10;3077;36.2092505348;761;26.4028004604
11;2771;35.1664743502;743;25.9897127691
12;2422;33.7547925469;712;25.4825684296
13;2126;32.3721946628;705;25.2904811882
14;1859;31.0179367938;687;24.8040415639
15;1585;29.2104895923;626;23.4324314978
16;1317;27.6562346325;601;22.8936985358
17;1055;25.7579298237;494;21.3243774085
18;890;24.0191319238;444;19.9650787578
19;763;22.6224483422;408;19.1093022294
20;574;19.8189670461;353;17.5127557491
rank;residual_edges;largest_res_eigval;ano_edges;largest_ano_eigval
0;16203;65.2830160245;905;28.8769085797
1;11801;60.068758584;895;28.7100091953
2;9893;56.3617366731;886;28.5681479735
3;8630;52.6276252609;880;28.5051818308
4;7461;49.9624807538;872;28.391615394
5;6361;47.3041398839;862;28.2152922544
6;5495;45.3620484438;843;27.8909471072
7;4775;43.4295215517;814;27.3832581044
8;4126;40.8799730244;803;27.1567914133
